y,<rho>,<p>,<T>,<u>,<v>,<w>,<mu>,<rho.T>/<rho>,<rho.u>/<rho>,<rho.v>/<rho>,<rho.w>/<rho>,<T">,<u">,<v">,<w">,<u'u'>,<v'v'>,<w'w'>,<u'v'>,<T'T'>,<v'T'>
 0.9701074573E+00, 0.11612E+01, 0.43012E+00, 0.11687E+01, 0.32135E+00, 0.79120E-04, 0.47619E-03,0.11151E+01,0.11668E+01,0.31716E+00,-0.54359E-05, 0.44007E-03, 0.19273E-02,0.41881E-02, 0.84556E-04, 0.36115E-04, 0.11464E-01, 0.38340E-04, 0.10944E-02, 0.30493E-03, 0.23186E-02, 0.12508E-03
 0.9762023741E+00, 0.11879E+01, 0.43014E+00, 0.11422E+01, 0.26235E+00, 0.44787E-04, 0.39485E-03,0.10974E+01,0.11406E+01,0.25913E+00,-0.45269E-05, 0.36697E-03, 0.15856E-02,0.32154E-02, 0.49314E-04, 0.27875E-04, 0.80890E-02, 0.19088E-04, 0.83274E-03, 0.17331E-03, 0.18806E-02, 0.75962E-04
 0.9816112057E+00, 0.12159E+01, 0.43016E+00, 0.11156E+01, 0.20694E+00, 0.20943E-04, 0.31554E-03,0.10795E+01,0.11144E+01,0.20467E+00,-0.36270E-05, 0.29590E-03, 0.11935E-02,0.22657E-02, 0.24570E-04, 0.19640E-04, 0.52520E-02, 0.83135E-05, 0.59426E-03, 0.87417E-04, 0.13947E-02, 0.40965E-04
 0.9863301501E+00, 0.12442E+01, 0.43016E+00, 0.10899E+01, 0.15646E+00, 0.69920E-05, 0.24094E-03,0.10620E+01,0.10891E+01,0.15502E+00,-0.27629E-05, 0.22853E-03, 0.80619E-03,0.14395E-02, 0.97549E-05, 0.12418E-04, 0.30953E-02, 0.30658E-05, 0.38894E-03, 0.38316E-04, 0.92916E-03, 0.19161E-04
 0.9903558897E+00, 0.12719E+01, 0.43017E+00, 0.10659E+01, 0.11192E+00, 0.59717E-06, 0.17365E-03,0.10456E+01,0.10654E+01,0.11112E+00,-0.19721E-05, 0.16679E-03, 0.47437E-03,0.80168E-03, 0.25692E-05, 0.68596E-05, 0.16193E-02, 0.92419E-06, 0.22613E-03, 0.14179E-04, 0.54165E-03, 0.75267E-05
 0.9936855922E+00, 0.12976E+01, 0.43017E+00, 0.10445E+01, 0.74118E-01,-0.12197E-05, 0.11559E-03,0.10309E+01,0.10443E+01,0.73746E-01,-0.12776E-05, 0.11243E-03, 0.23114E-03,0.37213E-03, 0.57870E-07, 0.31575E-05, 0.72210E-03, 0.22386E-06, 0.11116E-03, 0.42310E-05, 0.26457E-03, 0.23613E-05
 0.9963169100E+00, 0.13200E+01, 0.43017E+00, 0.10266E+01, 0.43626E-01,-0.10408E-05, 0.68265E-04,0.10186E+01,0.10265E+01,0.43496E-01,-0.71687E-06, 0.67164E-04, 0.84397E-04,0.13001E-03,-0.32394E-06, 0.11001E-05, 0.25356E-03, 0.45983E-07, 0.42390E-04, 0.93813E-06, 0.99866E-04, 0.54158E-06
 0.9982479675E+00, 0.13378E+01, 0.43017E+00, 0.10129E+01, 0.20894E-01,-0.46727E-06, 0.32774E-04,0.10090E+01,0.10129E+01,0.20868E-01,-0.32184E-06, 0.32551E-04, 0.17922E-04,0.26149E-04,-0.14543E-06, 0.22361E-06, 0.58794E-04, 0.84067E-08, 0.10470E-04, 0.13068E-06, 0.24415E-04, 0.75935E-07
 0.9994772578E+00, 0.13498E+01, 0.43017E+00, 0.10039E+01, 0.62619E-02,-0.11153E-06, 0.98281E-05,0.10027E+01,0.10039E+01,0.62617E-02,-0.90280E-07, 0.98228E-05, 0.39756E-06,0.20626E-06,-0.21247E-07, 0.53147E-08, 0.53206E-05, 0.78664E-09, 0.98731E-06, 0.71010E-08, 0.22850E-05, 0.39867E-08
 0.1000000000E+01, 0.13550E+01, 0.43017E+00, 0.10000E+01, 0.00000E+00, 0.00000E+00, 0.00000E+00,0.10000E+01,0.10000E+01,0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00

