eta,f,u,T
3.14629,2.02684,0.98759,1.14577
3.16633,2.04664,0.988195,1.14055
3.18637,2.06645,0.988775,1.13548
3.20641,2.08627,0.989329,1.13057
3.22645,2.1061,0.989858,1.12581
3.24649,2.12594,0.990365,1.1212
3.26653,2.1458,0.990849,1.11672
3.28657,2.16566,0.991312,1.11239
3.30661,2.18553,0.991753,1.1082
3.32665,2.20541,0.992175,1.10414
3.34669,2.2253,0.992578,1.1002
3.36673,2.24519,0.992962,1.0964
3.38677,2.26509,0.993328,1.09272
3.40681,2.285,0.993677,1.08916
3.42685,2.30492,0.99401,1.08571
3.44689,2.32484,0.994327,1.08238
3.46693,2.34477,0.99463,1.07917
3.48697,2.36471,0.994917,1.07606
3.50701,2.38465,0.995191,1.07305
3.52705,2.4046,0.995452,1.07015
3.54709,2.42455,0.9957,1.06735
3.56713,2.4445,0.995935,1.06464
3.58717,2.46446,0.99616,1.06203
3.60721,2.48443,0.996373,1.05952
3.62725,2.5044,0.996575,1.05709
3.64729,2.52437,0.996767,1.05474
3.66733,2.54435,0.996949,1.05248
3.68737,2.56433,0.997122,1.05031
3.70741,2.58431,0.997286,1.04821
3.72745,2.6043,0.997442,1.04619
3.74749,2.62429,0.99759,1.04424
3.76754,2.64429,0.997729,1.04236
3.78758,2.66428,0.997862,1.04056
3.80762,2.68428,0.997987,1.03882
3.82766,2.70428,0.998106,1.03715
3.8477,2.72428,0.998218,1.03554
3.86774,2.74429,0.998324,1.03399
3.88778,2.7643,0.998425,1.0325
3.90782,2.78431,0.99852,1.03107
3.92786,2.80432,0.99861,1.0297
3.9479,2.82433,0.998694,1.02838
3.96794,2.84435,0.998774,1.02711
3.98798,2.86436,0.99885,1.02589
4.00802,2.88438,0.998921,1.02473
4.02806,2.9044,0.998988,1.0236
4.0481,2.92442,0.999052,1.02253
4.06814,2.94444,0.999111,1.02149
4.08818,2.96446,0.999167,1.0205
4.10822,2.98449,0.99922,1.01955
4.12826,3.00451,0.99927,1.01864
4.1483,3.02454,0.999317,1.01777
4.16834,3.04457,0.999361,1.01694
4.18838,3.06459,0.999403,1.01614
4.20842,3.08462,0.999442,1.01537
4.22846,3.10465,0.999478,1.01464
4.2485,3.12468,0.999513,1.01393
4.26854,3.14471,0.999545,1.01326
4.28858,3.16474,0.999575,1.01262
4.30862,3.18478,0.999604,1.01201
4.32866,3.20481,0.999631,1.01142
4.3487,3.22484,0.999656,1.01086
4.36874,3.24487,0.999679,1.01032
4.38878,3.26491,0.999701,1.00981
4.40882,3.28494,0.999721,1.00932
4.42886,3.30498,0.999741,1.00885
4.4489,3.32501,0.999759,1.00841
4.46894,3.34505,0.999775,1.00798
4.48898,3.36508,0.999791,1.00758
4.50902,3.38512,0.999806,1.00719
4.52906,3.40516,0.99982,1.00682
4.5491,3.42519,0.999832,1.00647
4.56914,3.44523,0.999844,1.00613
4.58918,3.46527,0.999856,1.00581
4.60922,3.4853,0.999866,1.00551
4.62926,3.50534,0.999876,1.00522
4.6493,3.52538,0.999885,1.00494
4.66934,3.54542,0.999893,1.00468
4.68938,3.56545,0.999901,1.00443
4.70942,3.58549,0.999908,1.0042
4.72946,3.60553,0.999915,1.00397
4.7495,3.62557,0.999921,1.00376
4.76954,3.64561,0.999927,1.00355
4.78958,3.66565,0.999933,1.00336
4.80962,3.68569,0.999938,1.00317
4.82966,3.70572,0.999943,1.003
4.8497,3.72576,0.999947,1.00283
4.86974,3.7458,0.999951,1.00268
4.88978,3.76584,0.999955,1.00253
4.90982,3.78588,0.999958,1.00239
4.92986,3.80592,0.999962,1.00225
4.9499,3.82596,0.999965,1.00213
4.96994,3.846,0.999967,1.002
4.98998,3.86604,0.99997,1.00189
5.01002,3.88608,0.999972,1.00178
5.03006,3.90612,0.999975,1.00168
5.0501,3.92616,0.999977,1.00158
5.07014,3.9462,0.999978,1.00149
5.09018,3.96624,0.99998,1.0014
5.11022,3.98628,0.999982,1.00132
5.13026,4.00632,0.999983,1.00125
5.1503,4.02635,0.999985,1.00117
5.17034,4.04639,0.999986,1.0011
5.19038,4.06643,0.999987,1.00104
5.21042,4.08647,0.999988,1.00097
5.23046,4.10651,0.999989,1.00092
5.2505,4.12655,0.99999,1.00086
5.27054,4.14659,0.999991,1.00081
5.29058,4.16663,0.999992,1.00076
5.31062,4.18667,0.999992,1.00071
5.33066,4.20671,0.999993,1.00067
5.3507,4.22675,0.999994,1.00063
5.37074,4.24679,0.999994,1.00059
5.39078,4.26683,0.999995,1.00055
5.41082,4.28687,0.999995,1.00052
5.43086,4.30691,0.999996,1.00049
5.4509,4.32695,0.999996,1.00046
5.47094,4.34699,0.999996,1.00043
5.49098,4.36703,0.999997,1.0004
5.51102,4.38707,0.999997,1.00038
5.53106,4.40711,0.999997,1.00035
5.5511,4.42715,0.999997,1.00033
5.57114,4.44719,0.999998,1.00031
5.59118,4.46723,0.999998,1.00029
5.61122,4.48727,0.999998,1.00027
5.63126,4.50731,0.999998,1.00025
5.6513,4.52735,0.999998,1.00024
5.67134,4.54739,0.999999,1.00022
5.69138,4.56743,0.999999,1.00021
5.71142,4.58747,0.999999,1.00019
5.73146,4.60751,0.999999,1.00018
5.7515,4.62755,0.999999,1.00017
5.77154,4.64759,0.999999,1.00016
5.79158,4.66763,0.999999,1.00015
5.81162,4.68767,0.999999,1.00014
5.83166,4.70771,0.999999,1.00013
5.8517,4.72775,0.999999,1.00012
5.87174,4.74779,0.999999,1.00011
5.89178,4.76783,0.999999,1.0001
5.91182,4.78787,1,1.0001
5.93186,4.80791,1,1.00009
5.9519,4.82795,1,1.00008
5.97194,4.84799,1,1.00008
5.99198,4.86803,1,1.00007
6.01202,4.88808,1,1.00007
6.03206,4.90812,1,1.00006
6.0521,4.92816,1,1.00006
6.07214,4.9482,1,1.00005
6.09218,4.96824,1,1.00005
6.11222,4.98828,1,1.00005
6.13226,5.00832,1,1.00004
6.1523,5.02836,1,1.00004
6.17234,5.0484,1,1.00004
6.19238,5.06844,1,1.00003
6.21242,5.08848,1,1.00003
6.23246,5.10852,1,1.00003
6.25251,5.12856,1,1.00003
6.27255,5.1486,1,1.00003
6.29259,5.16864,1,1.00002
6.31263,5.18868,1,1.00002
6.33267,5.20872,1,1.00002
6.35271,5.22876,1,1.00002
6.37275,5.2488,1,1.00002
6.39279,5.26884,1,1.00002
6.41283,5.28888,1,1.00001
6.43287,5.30892,1,1.00001
6.45291,5.32896,1,1.00001
6.47295,5.349,1,1.00001
6.49299,5.36904,1,1.00001
6.51303,5.38908,1,1.00001
6.53307,5.40912,1,1.00001
6.55311,5.42916,1,1.00001
6.57315,5.4492,1,1.00001
6.59319,5.46924,1,1.00001
6.61323,5.48928,1,1.00001
6.63327,5.50932,1,1.00001
6.65331,5.52936,1,1.00001
6.67335,5.5494,1,1.00001
6.69339,5.56944,1,1
6.71343,5.58948,1,1
6.73347,5.60952,1,1
6.75351,5.62956,1,1
6.77355,5.6496,1,1
6.79359,5.66964,1,1
6.81363,5.68968,1,1
6.83367,5.70972,1,1
6.85371,5.72976,1,1
6.87375,5.7498,1,1
6.89379,5.76984,1,1
6.91383,5.78988,1,1
6.93387,5.80992,1,1
6.95391,5.82996,1,1
6.97395,5.85,1,1
6.99399,5.87004,1,1
7.01403,5.89008,1,1
7.03407,5.91012,1,1
7.05411,5.93016,1,1
7.07415,5.9502,1,1
7.09419,5.97024,1,1
7.11423,5.99028,1,1
7.13427,6.01032,1,1
7.15431,6.03036,1,1
7.17435,6.0504,1,1
7.19439,6.07044,1,1
7.21443,6.09048,1,1
7.23447,6.11052,1,1
7.25451,6.13056,1,1
7.27455,6.1506,1,1
7.29459,6.17064,1,1
7.31463,6.19068,1,1
7.33467,6.21072,1,1
7.35471,6.23076,1,1
7.37475,6.2508,1,1
7.39479,6.27084,1,1
7.41483,6.29088,1,1
7.43487,6.31092,1,1
7.45491,6.33096,1,1
