eta,f,u,T,X_N2,X_O2,X_NO,X_N,X_O,mu,rho,SoS,Rex
9.24623,8.36047,2905.07,450,0.789923,0.210077,1.83496e-21,2.99514e-20,2.85913e-14,2.50391e-05,0.781314,484.179,96203.8
9.29648,8.41072,2905.07,450,0.789923,0.210077,1.32282e-21,2.34665e-20,2.29141e-14,2.50391e-05,0.781314,484.179,96203.8
9.34673,8.46097,2905.07,450,0.789923,0.210077,9.5132e-22,1.83251e-20,1.82995e-14,2.50391e-05,0.781314,484.179,96203.8
9.39698,8.51122,2905.07,450,0.789923,0.210077,6.82221e-22,1.42545e-20,1.45534e-14,2.50391e-05,0.781314,484.179,96203.8
9.44724,8.56147,2905.07,450,0.789923,0.210077,4.87559e-22,1.10362e-20,1.15161e-14,2.50391e-05,0.781314,484.179,96203.8
9.49749,8.61172,2905.07,450,0.789923,0.210077,3.46936e-22,8.49518e-21,9.05657e-15,2.50391e-05,0.781314,484.179,96203.8
9.54774,8.66197,2905.07,450,0.789923,0.210077,2.45486e-22,6.49177e-21,7.06736e-15,2.50391e-05,0.781314,484.179,96203.8
9.59799,8.71222,2905.07,450,0.789923,0.210077,1.72398e-22,4.91439e-21,5.46056e-15,2.50391e-05,0.781314,484.179,96203.8
9.64824,8.76248,2905.07,450,0.789923,0.210077,1.19819e-22,3.67417e-21,4.16426e-15,2.50391e-05,0.781314,484.179,96203.8
9.69849,8.81273,2905.07,450,0.789923,0.210077,8.20511e-23,2.70038e-21,3.11978e-15,2.50391e-05,0.781314,484.179,96203.8
9.74874,8.86298,2905.07,450,0.789923,0.210077,5.49691e-23,1.93684e-21,2.27924e-15,2.50391e-05,0.781314,484.179,96203.8
9.79899,8.91323,2905.07,450,0.789923,0.210077,3.55881e-23,1.33898e-21,1.60366e-15,2.50391e-05,0.781314,484.179,96203.8
9.84925,8.96348,2905.07,450,0.789923,0.210077,2.17516e-23,8.71477e-22,1.06136e-15,2.50391e-05,0.781314,484.179,96203.8
9.8995,9.01373,2905.07,450,0.789923,0.210077,1.19035e-23,5.06412e-22,6.26571e-16,2.50391e-05,0.781314,484.179,96203.8
9.94975,9.06398,2905.07,450,0.789923,0.210077,4.92226e-24,2.2172e-22,2.78424e-16,2.50391e-05,0.781314,484.179,96203.8
10,9.11423,2905.07,450,0.789923,0.210077,9.61492e-61,2.05977e-60,1.80323e-60,2.50391e-05,0.781314,484.179,96203.8
