eta,f,u,T,X_N2,X_O2,X_NO,X_N,X_O,mu,rho,SoS,Rex
1.80905,0.96744,2624.94,1187.49,0.789922,0.210074,5.29165e-09,4.55641e-11,4.01836e-06,4.79133e-05,0.29608,763.21,96203.8
1.8593,1.01308,2651.11,1139.09,0.789922,0.210075,4.88737e-09,4.15244e-11,3.79356e-06,4.66296e-05,0.30866,748.663,96203.8
1.90955,1.05916,2675.19,1092.99,0.789922,0.210075,4.50887e-09,3.79322e-11,3.57921e-06,4.53882e-05,0.321677,734.53,96203.8
1.9598,1.10563,2697.29,1049.18,0.789922,0.210075,4.15506e-09,3.47259e-11,3.37501e-06,4.41901e-05,0.335108,720.821,96203.8
2.01005,1.15247,2717.54,1007.63,0.789922,0.210075,3.82485e-09,3.18531e-11,3.18065e-06,4.30364e-05,0.348929,707.544,96203.8
2.0603,1.19965,2736.05,968.283,0.789922,0.210075,3.5171e-09,2.92693e-11,2.9958e-06,4.19274e-05,0.363107,694.722,96203.8
2.11055,1.24713,2752.96,931.101,0.789922,0.210075,3.2307e-09,2.69368e-11,2.82013e-06,4.08637e-05,0.377608,682.354,96203.8
2.1608,1.29489,2768.36,896.026,0.789922,0.210075,2.9645e-09,2.48234e-11,2.6533e-06,3.98453e-05,0.392389,670.444,96203.8
2.21106,1.3429,2782.38,862.997,0.789922,0.210075,2.71741e-09,2.29019e-11,2.49497e-06,3.88723e-05,0.407407,658.993,96203.8
2.26131,1.39114,2795.11,831.944,0.789922,0.210075,2.48834e-09,2.11492e-11,2.34481e-06,3.79443e-05,0.422614,648.002,96203.8
2.31156,1.4396,2806.66,802.794,0.789922,0.210076,2.27622e-09,1.95457e-11,2.20247e-06,3.70608e-05,0.437959,637.469,96203.8
2.36181,1.48824,2817.12,775.475,0.789922,0.210076,2.08002e-09,1.80746e-11,2.06763e-06,3.62213e-05,0.453388,627.389,96203.8
2.41206,1.53706,2826.57,749.908,0.789922,0.210076,1.89876e-09,1.67216e-11,1.93995e-06,3.5425e-05,0.468846,617.758,96203.8
2.46231,1.58603,2835.11,726.016,0.789922,0.210076,1.73147e-09,1.54746e-11,1.81913e-06,3.4671e-05,0.484274,608.572,96203.8
2.51256,1.63514,2842.81,703.722,0.789922,0.210076,1.57725e-09,1.4323e-11,1.70485e-06,3.39584e-05,0.499616,599.827,96203.8
2.56281,1.68438,2849.74,682.949,0.789923,0.210076,1.43523e-09,1.32577e-11,1.59682e-06,3.32862e-05,0.514813,591.515,96203.8
2.61307,1.73373,2855.97,663.62,0.789923,0.210076,1.30457e-09,1.2271e-11,1.49473e-06,3.26531e-05,0.529808,583.631,96203.8
2.66332,1.78318,2861.56,645.658,0.789923,0.210076,1.1845e-09,1.13559e-11,1.39832e-06,3.20579e-05,0.544547,576.169,96203.8
2.71357,1.83272,2866.57,628.991,0.789923,0.210076,1.07428e-09,1.05065e-11,1.3073e-06,3.14995e-05,0.558977,569.119,96203.8
2.76382,1.88235,2871.06,613.544,0.789923,0.210076,9.73193e-10,9.71743e-12,1.22142e-06,3.09764e-05,0.573049,562.474,96203.8
2.81407,1.93205,2875.07,599.248,0.789923,0.210076,8.80593e-10,8.98406e-12,1.14043e-06,3.04874e-05,0.58672,556.224,96203.8
2.86432,1.98182,2878.65,586.035,0.789923,0.210076,7.95857e-10,8.30218e-12,1.06409e-06,3.00309e-05,0.599949,550.357,96203.8
2.91457,2.03164,2881.84,573.838,0.789923,0.210076,7.18402e-10,7.66803e-12,9.92175e-07,2.96057e-05,0.612701,544.863,96203.8
2.96482,2.08151,2884.68,562.593,0.789923,0.210076,6.47683e-10,7.07822e-12,9.24459e-07,2.92102e-05,0.624947,539.729,96203.8
3.01508,2.13144,2887.2,552.241,0.789923,0.210076,5.83188e-10,6.52966e-12,8.60735e-07,2.88431e-05,0.636663,534.941,96203.8
3.06533,2.1814,2889.44,542.721,0.789923,0.210076,5.24439e-10,6.01956e-12,8.00804e-07,2.85029e-05,0.64783,530.485,96203.8
3.11558,2.2314,2891.42,533.98,0.789923,0.210076,4.70989e-10,5.54532e-12,7.44475e-07,2.81882e-05,0.658435,526.349,96203.8
3.16583,2.28143,2893.17,525.964,0.789923,0.210076,4.22419e-10,5.10457e-12,6.91564e-07,2.78976e-05,0.66847,522.516,96203.8
3.21608,2.33149,2894.71,518.622,0.789923,0.210076,3.78341e-10,4.69513e-12,6.41897e-07,2.76297e-05,0.677934,518.971,96203.8
3.26633,2.38157,2896.07,511.906,0.789923,0.210076,3.38392e-10,4.31496e-12,5.95307e-07,2.73833e-05,0.686827,515.701,96203.8
3.31658,2.43168,2897.27,505.773,0.789923,0.210076,3.02232e-10,3.96217e-12,5.51636e-07,2.71569e-05,0.695156,512.69,96203.8
3.36683,2.48181,2898.32,500.178,0.789923,0.210076,2.69548e-10,3.63499e-12,5.1073e-07,2.69493e-05,0.702932,509.922,96203.8
3.41709,2.53195,2899.24,495.082,0.789923,0.210076,2.40047e-10,3.33177e-12,4.72445e-07,2.67594e-05,0.710167,507.384,96203.8
3.46734,2.58211,2900.05,490.447,0.789923,0.210076,2.13457e-10,3.05097e-12,4.36642e-07,2.65859e-05,0.716879,505.061,96203.8
3.51759,2.63228,2900.75,486.237,0.789923,0.210076,1.89526e-10,2.79114e-12,4.03186e-07,2.64276e-05,0.723086,502.939,96203.8
3.56784,2.68246,2901.36,482.418,0.789923,0.210076,1.6802e-10,2.55091e-12,3.71951e-07,2.62836e-05,0.728809,501.004,96203.8
3.61809,2.73265,2901.89,478.96,0.789923,0.210076,1.48724e-10,2.329e-12,3.42815e-07,2.61527e-05,0.734071,499.244,96203.8
3.66834,2.78285,2902.35,475.833,0.789923,0.210077,1.31437e-10,2.12421e-12,3.15662e-07,2.60339e-05,0.738896,497.645,96203.8
3.71859,2.83306,2902.75,473.01,0.789923,0.210077,1.15975e-10,1.93539e-12,2.9038e-07,2.59264e-05,0.743306,496.195,96203.8
3.76884,2.88327,2903.1,470.464,0.789923,0.210077,1.02167e-10,1.76148e-12,2.66862e-07,2.58292e-05,0.747328,494.884,96203.8
3.8191,2.93349,2903.39,468.173,0.789923,0.210077,8.98571e-11,1.60146e-12,2.45007e-07,2.57415e-05,0.750986,493.7,96203.8
3.86935,2.98372,2903.65,466.114,0.789923,0.210077,7.89006e-11,1.45437e-12,2.24717e-07,2.56626e-05,0.754303,492.633,96203.8
3.9196,3.03395,2903.87,464.266,0.789923,0.210077,6.91652e-11,1.31933e-12,2.059e-07,2.55916e-05,0.757306,491.672,96203.8
3.96985,3.08418,2904.06,462.611,0.789923,0.210077,6.05297e-11,1.19547e-12,1.88466e-07,2.55279e-05,0.760016,490.81,96203.8
4.0201,3.13442,2904.22,461.13,0.789923,0.210077,5.2883e-11,1.08201e-12,1.7233e-07,2.54708e-05,0.762456,490.037,96203.8
4.07035,3.18465,2904.35,459.808,0.789923,0.210077,4.61238e-11,9.78196e-13,1.57413e-07,2.54198e-05,0.764648,489.346,96203.8
4.1206,3.23489,2904.47,458.629,0.789923,0.210077,4.01597e-11,8.83312e-13,1.43636e-07,2.53742e-05,0.766614,488.728,96203.8
4.17085,3.28513,2904.57,457.58,0.789923,0.210077,3.49065e-11,7.96696e-13,1.30926e-07,2.53336e-05,0.768371,488.178,96203.8
4.22111,3.33538,2904.65,456.648,0.789923,0.210077,3.02879e-11,7.17724e-13,1.19215e-07,2.52975e-05,0.76994,487.688,96203.8
4.27136,3.38562,2904.72,455.821,0.789923,0.210077,2.62345e-11,6.45811e-13,1.08435e-07,2.52655e-05,0.771337,487.253,96203.8
4.32161,3.43587,2904.78,455.088,0.789923,0.210077,2.26837e-11,5.80406e-13,9.85231e-08,2.52371e-05,0.772578,486.868,96203.8
4.37186,3.48611,2904.83,454.441,0.789923,0.210077,1.95789e-11,5.20996e-13,8.94205e-08,2.52119e-05,0.773678,486.527,96203.8
4.42211,3.53636,2904.87,453.87,0.789923,0.210077,1.68692e-11,4.67099e-13,8.10706e-08,2.51897e-05,0.774652,486.226,96203.8
4.47236,3.58661,2904.91,453.367,0.789923,0.210077,1.45086e-11,4.18266e-13,7.34199e-08,2.51702e-05,0.775512,485.96,96203.8
4.52261,3.63686,2904.94,452.924,0.789923,0.210077,1.2456e-11,3.74079e-13,6.64181e-08,2.5153e-05,0.77627,485.726,96203.8
4.57286,3.68711,2904.96,452.535,0.789923,0.210077,1.06746e-11,3.34148e-13,6.00177e-08,2.51378e-05,0.776937,485.521,96203.8
4.62312,3.73736,2904.98,452.195,0.789923,0.210077,9.13155e-12,2.98109e-13,5.41739e-08,2.51246e-05,0.777522,485.341,96203.8
4.67337,3.78761,2905,451.897,0.789923,0.210077,7.79741e-12,2.65627e-13,4.88447e-08,2.5113e-05,0.778034,485.183,96203.8
4.72362,3.83786,2905.01,451.636,0.789923,0.210077,6.64613e-12,2.36388e-13,4.39906e-08,2.51029e-05,0.778483,485.045,96203.8
4.77387,3.88811,2905.02,451.41,0.789923,0.210077,5.65454e-12,2.10105e-13,3.95744e-08,2.5094e-05,0.778874,484.925,96203.8
4.82412,3.93836,2905.03,451.212,0.789923,0.210077,4.80212e-12,1.86509e-13,3.55616e-08,2.50863e-05,0.779215,484.821,96203.8
4.87437,3.98861,2905.04,451.041,0.789923,0.210077,4.07076e-12,1.65354e-13,3.19196e-08,2.50796e-05,0.779511,484.73,96203.8
4.92462,4.03886,2905.04,450.892,0.789923,0.210077,3.44446e-12,1.46414e-13,2.86182e-08,2.50739e-05,0.779769,484.651,96203.8
4.97487,4.08911,2905.05,450.763,0.789923,0.210077,2.90917e-12,1.29479e-13,2.56292e-08,2.50688e-05,0.779991,484.583,96203.8
5.02513,4.13936,2905.05,450.652,0.789923,0.210077,2.45255e-12,1.14357e-13,2.29263e-08,2.50645e-05,0.780184,484.524,96203.8
5.07538,4.18961,2905.06,450.556,0.789923,0.210077,2.06379e-12,1.00872e-13,2.04851e-08,2.50608e-05,0.78035,484.473,96203.8
5.12563,4.23986,2905.06,450.473,0.789923,0.210077,1.73345e-12,8.88643e-14,1.8283e-08,2.50575e-05,0.780493,484.429,96203.8
5.17588,4.29012,2905.06,450.402,0.789923,0.210077,1.45329e-12,7.81856e-14,1.62989e-08,2.50548e-05,0.780616,484.392,96203.8
5.22613,4.34037,2905.06,450.341,0.789923,0.210077,1.21615e-12,6.8702e-14,1.45135e-08,2.50524e-05,0.780722,484.359,96203.8
5.27638,4.39062,2905.07,450.289,0.789923,0.210077,1.01582e-12,6.02912e-14,1.29089e-08,2.50503e-05,0.780813,484.332,96203.8
